127.8717 	DATA 	Keypress: t
128.3399 	DATA 	Keypress: t
129.0057 	DATA 	Keypress: t
129.7051 	DATA 	Keypress: t
130.1896 	DATA 	Keypress: t
130.1899 	DATA 	win A
132.7904 	DATA 	Keypress: t
133.6735 	DATA 	Keypress: t
134.0070 	DATA 	Keypress: t
134.6402 	DATA 	Keypress: t
135.2722 	DATA 	Keypress: t
135.6891 	DATA 	Keypress: t
135.9887 	DATA 	Keypress: t
136.6235 	DATA 	Keypress: t
137.2402 	DATA 	Keypress: t
137.8224 	DATA 	Keypress: t
137.8227 	DATA 	win A
138.1392 	DATA 	Keypress: t
139.4735 	DATA 	Keypress: t
140.0551 	DATA 	Keypress: t
140.3388 	DATA 	Keypress: t
140.7235 	DATA 	Keypress: t
141.4218 	DATA 	Keypress: t
142.0054 	DATA 	Keypress: t
142.0058 	DATA 	win A
144.0255 	DATA 	Keypress: t
144.2909 	DATA 	Keypress: t
144.9256 	DATA 	Keypress: t
146.0883 	DATA 	correct
146.0917 	DATA 	Keypress: t
147.9555 	DATA 	Keypress: v
148.5736 	DATA 	Keypress: v
149.0723 	DATA 	Keypress: v
149.6054 	DATA 	Keypress: v
150.2387 	DATA 	Keypress: v
150.7878 	DATA 	Keypress: v
151.3055 	DATA 	Keypress: v
151.9069 	DATA 	Keypress: v
152.5217 	DATA 	Keypress: v
153.1561 	DATA 	Keypress: v
153.1566 	DATA 	win B
155.0735 	DATA 	Keypress: v
155.7059 	DATA 	Keypress: v
156.2226 	DATA 	Keypress: v
156.8404 	DATA 	Keypress: v
157.3550 	DATA 	Keypress: v
157.9914 	DATA 	Keypress: v
157.9920 	DATA 	win B
161.6394 	DATA 	Keypress: v
162.2236 	DATA 	Keypress: v
162.8553 	DATA 	Keypress: v
163.6217 	DATA 	Keypress: v
164.2403 	DATA 	Keypress: v
166.2888 	DATA 	Keypress: v
167.7724 	DATA 	Keypress: v
168.4224 	DATA 	Keypress: v
168.4229 	DATA 	win B
170.3244 	DATA 	Keypress: v
170.8238 	DATA 	Keypress: v
171.4416 	DATA 	Keypress: v
172.7063 	DATA 	correct
172.7101 	DATA 	Keypress: v
176.8404 	DATA 	Keypress: t
177.3896 	DATA 	Keypress: t
178.1388 	DATA 	Keypress: t
178.5889 	DATA 	Keypress: t
179.2391 	DATA 	Keypress: t
179.8741 	DATA 	Keypress: t
180.4908 	DATA 	Keypress: t
181.5732 	DATA 	Keypress: t
182.0388 	DATA 	Keypress: t
182.7404 	DATA 	Keypress: t
182.7408 	DATA 	win A
188.1390 	DATA 	Keypress: t
188.8221 	DATA 	Keypress: t
189.2401 	DATA 	Keypress: t
189.8382 	DATA 	Keypress: t
190.5221 	DATA 	Keypress: t
191.5900 	DATA 	Keypress: t
191.5905 	DATA 	win A
193.2058 	DATA 	Keypress: t
193.7552 	DATA 	Keypress: t
194.4069 	DATA 	Keypress: t
195.9889 	DATA 	Keypress: t
197.5901 	DATA 	Keypress: t
198.1401 	DATA 	Keypress: t
198.8236 	DATA 	Keypress: t
199.6550 	DATA 	Keypress: t
201.0292 	DATA 	Keypress: t
201.6221 	DATA 	Keypress: t
201.6225 	DATA 	win A
203.9908 	DATA 	Keypress: t
204.2921 	DATA 	Keypress: t
205.2094 	DATA 	Keypress: t
205.8564 	DATA 	correct
205.8604 	DATA 	Keypress: t
