1.6164 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
202.8212 	DATA 	Keypress: space
202.8218 	DATA 	waiting for trigger
218.9878 	DATA 	Keypress: lshift
218.9883 	DATA 	Keypress: t
218.9899 	DATA 	TRIGGERED
221.9878 	DATA 	Keypress: lshift
221.9884 	DATA 	Keypress: t
224.9880 	DATA 	Keypress: lshift
224.9886 	DATA 	Keypress: t
227.9882 	DATA 	Keypress: lshift
227.9887 	DATA 	Keypress: t
229.1402 	DATA 	red.png
230.9880 	DATA 	Keypress: lshift
230.9886 	DATA 	Keypress: t
231.5546 	DATA 	Keypress: a
232.2879 	DATA 	Keypress: a
232.6711 	DATA 	Keypress: a
233.5881 	DATA 	Keypress: a
233.8216 	DATA 	Keypress: a
233.9879 	DATA 	Keypress: lshift
233.9885 	DATA 	Keypress: t
234.2213 	DATA 	Keypress: a
234.7548 	DATA 	Keypress: a
235.0547 	DATA 	Keypress: a
235.3045 	DATA 	Keypress: a
235.5212 	DATA 	Keypress: a
236.1381 	DATA 	Keypress: a
236.3898 	DATA 	Keypress: a
236.6046 	DATA 	Keypress: a
236.7881 	DATA 	Keypress: a
236.9878 	DATA 	Keypress: lshift
236.9883 	DATA 	Keypress: t
237.0375 	DATA 	end CS
237.1519 	DATA 	vend.png
239.9883 	DATA 	Keypress: lshift
239.9888 	DATA 	Keypress: t
242.9882 	DATA 	Keypress: lshift
242.9888 	DATA 	Keypress: t
243.0543 	DATA 	end CS
243.1533 	DATA 	blue.png
243.9714 	DATA 	Keypress: b
244.3711 	DATA 	Keypress: b
244.6047 	DATA 	Keypress: b
245.2212 	DATA 	Keypress: b
245.7048 	DATA 	Keypress: b
245.9879 	DATA 	Keypress: lshift
245.9885 	DATA 	Keypress: t
246.2381 	DATA 	Keypress: b
246.4713 	DATA 	Keypress: b
246.7045 	DATA 	Keypress: b
246.9546 	DATA 	Keypress: b
247.5231 	DATA 	Keypress: b
247.7715 	DATA 	Keypress: b
248.0046 	DATA 	Keypress: b
248.5716 	DATA 	Keypress: b
248.9883 	DATA 	Keypress: lshift
248.9889 	DATA 	Keypress: t
249.2379 	DATA 	Keypress: b
249.7712 	DATA 	Keypress: b
250.1048 	DATA 	Keypress: b
250.3894 	DATA 	Keypress: b
251.0213 	DATA 	Keypress: b
251.8715 	DATA 	Keypress: b
251.9882 	DATA 	Keypress: lshift
251.9888 	DATA 	Keypress: t
252.7045 	DATA 	Keypress: b
253.3380 	DATA 	Keypress: b
253.9049 	DATA 	Keypress: b
254.3546 	DATA 	Keypress: b
254.9046 	DATA 	Keypress: b
254.9881 	DATA 	Keypress: lshift
254.9886 	DATA 	Keypress: t
255.9050 	DATA 	Keypress: b
256.2230 	DATA 	Keypress: b
256.6380 	DATA 	Keypress: b
257.0881 	DATA 	Keypress: b
257.5718 	DATA 	Keypress: b
257.9879 	DATA 	Keypress: lshift
257.9885 	DATA 	Keypress: t
258.0543 	DATA 	end CS
258.1436 	DATA 	vend.png
258.1439 	DATA 	Keypress: b
260.9882 	DATA 	Keypress: lshift
260.9888 	DATA 	Keypress: t
263.9881 	DATA 	Keypress: lshift
263.9886 	DATA 	Keypress: t
264.0543 	DATA 	end CS
264.1539 	DATA 	green.png
266.9882 	DATA 	Keypress: lshift
266.9888 	DATA 	Keypress: t
269.9882 	DATA 	Keypress: lshift
269.9887 	DATA 	Keypress: t
270.0542 	DATA 	end CS
270.1434 	DATA 	vend.png
272.9883 	DATA 	Keypress: lshift
272.9888 	DATA 	Keypress: t
275.9883 	DATA 	Keypress: lshift
275.9890 	DATA 	Keypress: t
276.0542 	DATA 	end CS
276.1603 	DATA 	yellow.png
278.9879 	DATA 	Keypress: lshift
278.9885 	DATA 	Keypress: t
281.9883 	DATA 	Keypress: lshift
281.9888 	DATA 	Keypress: t
283.0544 	DATA 	end CS
283.1584 	DATA 	vend.png
284.9881 	DATA 	Keypress: lshift
284.9887 	DATA 	Keypress: t
287.9882 	DATA 	Keypress: lshift
287.9887 	DATA 	Keypress: t
289.0544 	DATA 	end CS
289.1456 	DATA 	red.png
290.9882 	DATA 	Keypress: lshift
290.9887 	DATA 	Keypress: t
291.0064 	DATA 	Keypress: a
291.5384 	DATA 	Keypress: a
291.7379 	DATA 	Keypress: a
291.9214 	DATA 	Keypress: a
292.1548 	DATA 	Keypress: a
292.6548 	DATA 	Keypress: a
293.0393 	DATA 	Keypress: a
293.3900 	DATA 	Keypress: a
293.7547 	DATA 	Keypress: a
293.9883 	DATA 	Keypress: lshift
293.9888 	DATA 	Keypress: t
294.3879 	DATA 	Keypress: a
294.6049 	DATA 	Keypress: a
295.4404 	DATA 	Keypress: a
295.6879 	DATA 	Keypress: a
295.8885 	DATA 	Keypress: a
296.0714 	DATA 	Keypress: a
296.9046 	DATA 	Keypress: a
296.9882 	DATA 	Keypress: lshift
296.9887 	DATA 	Keypress: t
297.4217 	DATA 	Keypress: a
298.0546 	DATA 	Keypress: a
298.2717 	DATA 	Keypress: a
298.5049 	DATA 	Keypress: a
299.0543 	DATA 	end CS
299.1425 	DATA 	vend.png
299.2859 	DATA 	Keypress: a
299.9882 	DATA 	Keypress: lshift
299.9887 	DATA 	Keypress: t
302.9883 	DATA 	Keypress: lshift
302.9888 	DATA 	Keypress: t
305.0544 	DATA 	end CS
305.1515 	DATA 	green.png
305.9881 	DATA 	Keypress: lshift
305.9887 	DATA 	Keypress: t
308.9882 	DATA 	Keypress: lshift
308.9888 	DATA 	Keypress: t
311.9880 	DATA 	Keypress: lshift
311.9886 	DATA 	Keypress: t
314.9883 	DATA 	Keypress: lshift
314.9888 	DATA 	Keypress: t
317.9883 	DATA 	Keypress: lshift
317.9889 	DATA 	Keypress: t
319.0543 	DATA 	end CS
319.1491 	DATA 	vend.png
320.9881 	DATA 	Keypress: lshift
320.9886 	DATA 	Keypress: t
323.9882 	DATA 	Keypress: lshift
323.9888 	DATA 	Keypress: t
325.0544 	DATA 	end CS
325.1469 	DATA 	blue.png
326.7547 	DATA 	Keypress: b
326.9879 	DATA 	Keypress: lshift
326.9885 	DATA 	Keypress: t
327.0545 	DATA 	end CS
327.1359 	DATA 	vend.png
327.3198 	DATA 	Keypress: b
327.5713 	DATA 	Keypress: b
327.7878 	DATA 	Keypress: b
328.0049 	DATA 	Keypress: b
329.9880 	DATA 	Keypress: lshift
329.9886 	DATA 	Keypress: t
332.9883 	DATA 	Keypress: lshift
332.9889 	DATA 	Keypress: t
333.0544 	DATA 	end CS
333.1555 	DATA 	yellow.png
335.9884 	DATA 	Keypress: lshift
335.9890 	DATA 	Keypress: t
338.9883 	DATA 	Keypress: lshift
338.9889 	DATA 	Keypress: t
341.0546 	DATA 	end CS
341.1446 	DATA 	vend.png
341.9882 	DATA 	Keypress: lshift
341.9888 	DATA 	Keypress: t
344.9881 	DATA 	Keypress: lshift
344.9887 	DATA 	Keypress: t
347.0544 	DATA 	end CS
347.1382 	DATA 	red.png
347.9881 	DATA 	Keypress: lshift
347.9886 	DATA 	Keypress: t
348.1048 	DATA 	Keypress: a
348.6215 	DATA 	Keypress: a
348.8212 	DATA 	Keypress: a
349.0381 	DATA 	Keypress: a
349.2380 	DATA 	Keypress: a
349.4064 	DATA 	Keypress: a
349.5885 	DATA 	Keypress: a
349.7718 	DATA 	Keypress: a
349.9715 	DATA 	Keypress: a
350.1712 	DATA 	Keypress: a
350.3382 	DATA 	Keypress: a
350.5547 	DATA 	Keypress: a
350.7381 	DATA 	Keypress: a
350.9546 	DATA 	Keypress: a
350.9883 	DATA 	Keypress: lshift
350.9888 	DATA 	Keypress: t
351.1382 	DATA 	Keypress: a
351.3378 	DATA 	Keypress: a
351.5381 	DATA 	Keypress: a
351.9396 	DATA 	Keypress: a
352.1714 	DATA 	Keypress: a
352.3547 	DATA 	Keypress: a
352.7549 	DATA 	Keypress: a
352.9547 	DATA 	Keypress: a
353.1381 	DATA 	Keypress: a
353.3547 	DATA 	Keypress: a
353.5548 	DATA 	Keypress: a
353.9881 	DATA 	Keypress: lshift
353.9887 	DATA 	Keypress: t
354.1881 	DATA 	Keypress: a
354.4053 	DATA 	Keypress: a
354.6048 	DATA 	Keypress: a
355.0714 	DATA 	Keypress: a
355.2715 	DATA 	Keypress: a
355.4546 	DATA 	Keypress: a
355.9885 	DATA 	Keypress: a
356.0545 	DATA 	end CS
356.1384 	DATA 	vend.png
356.2194 	DATA 	Keypress: a
356.4051 	DATA 	Keypress: a
356.6047 	DATA 	Keypress: a
356.9884 	DATA 	Keypress: lshift
356.9890 	DATA 	Keypress: t
359.9881 	DATA 	Keypress: lshift
359.9886 	DATA 	Keypress: t
362.0544 	DATA 	end CS
362.1543 	DATA 	green.png
362.9883 	DATA 	Keypress: lshift
362.9888 	DATA 	Keypress: t
365.9883 	DATA 	Keypress: lshift
365.9888 	DATA 	Keypress: t
368.9885 	DATA 	Keypress: lshift
368.9890 	DATA 	Keypress: t
371.9880 	DATA 	Keypress: lshift
371.9885 	DATA 	Keypress: t
374.9883 	DATA 	Keypress: lshift
374.9888 	DATA 	Keypress: t
376.0544 	DATA 	end CS
376.1491 	DATA 	vend.png
377.9883 	DATA 	Keypress: lshift
377.9888 	DATA 	Keypress: t
380.9880 	DATA 	Keypress: lshift
380.9887 	DATA 	Keypress: t
382.0546 	DATA 	end CS
382.1466 	DATA 	blue.png
383.2218 	DATA 	Keypress: b
383.7716 	DATA 	Keypress: b
383.9881 	DATA 	Keypress: lshift
383.9887 	DATA 	Keypress: t
384.0217 	DATA 	Keypress: b
384.7048 	DATA 	Keypress: b
385.1547 	DATA 	Keypress: b
385.6717 	DATA 	Keypress: b
385.9216 	DATA 	Keypress: b
386.1550 	DATA 	Keypress: b
386.3731 	DATA 	Keypress: b
386.6051 	DATA 	Keypress: b
386.9882 	DATA 	Keypress: lshift
386.9888 	DATA 	Keypress: t
387.3380 	DATA 	Keypress: b
387.5550 	DATA 	Keypress: b
387.7712 	DATA 	Keypress: b
388.2546 	DATA 	Keypress: b
388.4715 	DATA 	Keypress: b
388.7047 	DATA 	Keypress: b
389.2214 	DATA 	Keypress: b
389.5396 	DATA 	Keypress: b
389.9381 	DATA 	Keypress: b
389.9883 	DATA 	Keypress: lshift
389.9889 	DATA 	Keypress: t
390.1884 	DATA 	Keypress: b
390.7715 	DATA 	Keypress: b
391.0546 	DATA 	end CS
391.1464 	DATA 	vend.png
391.3047 	DATA 	Keypress: b
392.9880 	DATA 	Keypress: lshift
392.9886 	DATA 	Keypress: t
395.9881 	DATA 	Keypress: lshift
395.9887 	DATA 	Keypress: t
397.0547 	DATA 	end CS
397.1413 	DATA 	yellow.png
398.9886 	DATA 	Keypress: lshift
398.9892 	DATA 	Keypress: t
401.9883 	DATA 	Keypress: lshift
401.9889 	DATA 	Keypress: t
404.9884 	DATA 	Keypress: lshift
404.9890 	DATA 	Keypress: t
407.9882 	DATA 	Keypress: lshift
407.9888 	DATA 	Keypress: t
410.9885 	DATA 	Keypress: lshift
410.9891 	DATA 	Keypress: t
411.0547 	DATA 	end CS
411.1559 	DATA 	vend.png
413.9882 	DATA 	Keypress: lshift
413.9887 	DATA 	Keypress: t
416.9881 	DATA 	Keypress: lshift
416.9887 	DATA 	Keypress: t
417.0546 	DATA 	end CS
417.1422 	DATA 	red.png
418.0239 	DATA 	Keypress: a
418.2881 	DATA 	Keypress: a
418.5548 	DATA 	Keypress: a
418.7880 	DATA 	Keypress: a
419.0714 	DATA 	Keypress: a
419.7546 	DATA 	Keypress: a
419.9214 	DATA 	Keypress: a
419.9881 	DATA 	Keypress: lshift
419.9887 	DATA 	Keypress: t
420.0715 	DATA 	Keypress: a
420.3715 	DATA 	Keypress: a
420.6213 	DATA 	Keypress: a
420.8716 	DATA 	Keypress: a
421.1699 	DATA 	Keypress: a
421.8215 	DATA 	Keypress: a
422.0882 	DATA 	Keypress: a
422.3402 	DATA 	Keypress: a
422.6048 	DATA 	Keypress: a
422.9214 	DATA 	Keypress: a
422.9880 	DATA 	Keypress: lshift
422.9885 	DATA 	Keypress: t
423.5716 	DATA 	Keypress: a
424.0050 	DATA 	Keypress: a
424.1714 	DATA 	Keypress: a
424.4218 	DATA 	Keypress: a
424.7216 	DATA 	Keypress: a
425.3736 	DATA 	Keypress: a
425.6711 	DATA 	Keypress: a
425.9399 	DATA 	Keypress: a
425.9882 	DATA 	Keypress: lshift
425.9888 	DATA 	Keypress: t
426.2217 	DATA 	Keypress: a
426.5048 	DATA 	Keypress: a
427.1050 	DATA 	Keypress: a
427.2890 	DATA 	Keypress: a
427.5383 	DATA 	Keypress: a
427.7715 	DATA 	Keypress: a
428.0214 	DATA 	Keypress: a
428.2550 	DATA 	Keypress: a
428.9883 	DATA 	Keypress: lshift
428.9889 	DATA 	Keypress: t
429.0215 	DATA 	Keypress: a
429.3064 	DATA 	Keypress: a
429.5880 	DATA 	Keypress: a
430.0051 	DATA 	Keypress: a
430.1547 	DATA 	Keypress: a
430.4050 	DATA 	Keypress: a
430.6548 	DATA 	Keypress: a
431.0546 	DATA 	end CS
431.1534 	DATA 	vend.png
431.1538 	DATA 	Keypress: a
431.4048 	DATA 	Keypress: a
431.9879 	DATA 	Keypress: lshift
431.9884 	DATA 	Keypress: t
434.9881 	DATA 	Keypress: lshift
434.9886 	DATA 	Keypress: t
437.0545 	DATA 	end CS
437.1465 	DATA 	green.png
437.9882 	DATA 	Keypress: lshift
437.9889 	DATA 	Keypress: t
440.9882 	DATA 	Keypress: lshift
440.9888 	DATA 	Keypress: t
443.9883 	DATA 	Keypress: lshift
443.9889 	DATA 	Keypress: t
446.0548 	DATA 	end CS
446.1461 	DATA 	vend.png
446.9884 	DATA 	Keypress: lshift
446.9892 	DATA 	Keypress: t
